07:41:14.804 INFO  SIP2_GIS_SERVICE. [List Show] 
07:41:29.007 INFO  SIP2_GIS_SERVICE. [List Show] 
09:00:08.806 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307136] [77.2914619], [Live Location] 
09:00:08.835 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307136] [77.2914619], [Live Location] 
09:00:38.587 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307048] [77.2914589], [Live Location] 
09:00:38.600 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307048] [77.2914589], [Live Location] 
09:01:08.739 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307117] [77.2914624], [Live Location] 
09:01:08.760 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307117] [77.2914624], [Live Location] 
09:01:38.929 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307119] [77.2914658], [Live Location] 
09:01:38.956 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307119] [77.2914658], [Live Location] 
09:02:08.869 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307135] [77.2914689], [Live Location] 
09:02:08.888 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307135] [77.2914689], [Live Location] 
09:02:36.460 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5309517] [77.2915667], [Live Location] 
09:02:36.475 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5309517] [77.2915667], [Live Location] 
09:03:08.894 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307049] [77.2914722], [Live Location] 
09:03:08.926 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307049] [77.2914722], [Live Location] 
09:03:38.657 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307054] [77.2914764], [Live Location] 
09:03:38.676 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307054] [77.2914764], [Live Location] 
09:04:08.882 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307117] [77.2914712], [Live Location] 
09:04:08.900 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307117] [77.2914712], [Live Location] 
09:04:38.868 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307146] [77.2914718], [Live Location] 
09:04:38.886 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307146] [77.2914718], [Live Location] 
09:05:08.856 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307099] [77.2914684], [Live Location] 
09:05:08.889 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307099] [77.2914684], [Live Location] 
09:05:38.823 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307061] [77.2914664], [Live Location] 
09:05:38.841 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307061] [77.2914664], [Live Location] 
09:06:04.174 INFO  SIP2_GIS_SERVICE.[9560597211] [28.53066] [77.2914683], [Live Location] 
09:06:04.193 INFO  SIP2_GIS_SERVICE.[9560597211] [28.53066] [77.2914683], [Live Location] 
09:06:38.871 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530708] [77.291473], [Live Location] 
09:06:38.900 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530708] [77.291473], [Live Location] 
09:07:01.941 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530725] [77.2914817], [Live Location] 
09:07:01.961 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530725] [77.2914817], [Live Location] 
09:07:38.956 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307151] [77.2914633], [Live Location] 
09:07:38.986 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307151] [77.2914633], [Live Location] 
09:08:09.097 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307151] [77.2914721], [Live Location] 
09:08:09.116 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307151] [77.2914721], [Live Location] 
09:08:39.055 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530714] [77.2914598], [Live Location] 
09:08:39.076 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530714] [77.2914598], [Live Location] 
09:09:09.226 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307145] [77.291462], [Live Location] 
09:09:09.247 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307145] [77.291462], [Live Location] 
09:09:39.111 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307089] [77.2914542], [Live Location] 
09:09:39.135 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307089] [77.2914542], [Live Location] 
09:10:09.168 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307198] [77.2914729], [Live Location] 
09:10:09.197 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307198] [77.2914729], [Live Location] 
09:10:39.278 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307089] [77.291463], [Live Location] 
09:10:39.298 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307089] [77.291463], [Live Location] 
09:11:09.121 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307147] [77.2914638], [Live Location] 
09:11:09.140 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307147] [77.2914638], [Live Location] 
09:11:39.258 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307149] [77.2914714], [Live Location] 
09:11:39.278 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307149] [77.2914714], [Live Location] 
09:12:09.151 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307101] [77.2914748], [Live Location] 
09:12:09.170 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307101] [77.2914748], [Live Location] 
09:12:39.200 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530714] [77.2914725], [Live Location] 
09:12:39.220 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530714] [77.2914725], [Live Location] 
09:13:00.198 INFO  SIP2_GIS_SERVICE.[9560597211] [28.53069] [77.2914783], [Live Location] 
09:13:00.211 INFO  SIP2_GIS_SERVICE.[9560597211] [28.53069] [77.2914783], [Live Location] 
09:13:39.185 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307108] [77.2914769], [Live Location] 
09:13:39.216 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307108] [77.2914769], [Live Location] 
09:14:09.487 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307181] [77.2914792], [Live Location] 
09:14:09.518 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307181] [77.2914792], [Live Location] 
09:14:39.273 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307116] [77.2914768], [Live Location] 
09:14:39.291 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307116] [77.2914768], [Live Location] 
09:15:09.240 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307129] [77.2914772], [Live Location] 
09:15:09.258 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307129] [77.2914772], [Live Location] 
09:15:39.300 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307108] [77.2914689], [Live Location] 
09:15:39.321 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307108] [77.2914689], [Live Location] 
09:16:09.714 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307197] [77.2914671], [Live Location] 
09:16:09.728 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307197] [77.2914671], [Live Location] 
09:16:39.472 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307179] [77.2914602], [Live Location] 
09:16:39.490 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307179] [77.2914602], [Live Location] 
09:17:09.608 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307152] [77.2914729], [Live Location] 
09:17:09.626 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307152] [77.2914729], [Live Location] 
09:17:39.500 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307151] [77.2914669], [Live Location] 
09:17:39.517 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307151] [77.2914669], [Live Location] 
09:18:10.017 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307214] [77.2914711], [Live Location] 
09:18:10.035 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307214] [77.2914711], [Live Location] 
09:18:39.511 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307173] [77.291471], [Live Location] 
09:18:39.530 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307173] [77.291471], [Live Location] 
09:19:09.693 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307137] [77.2914653], [Live Location] 
09:19:09.723 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307137] [77.2914653], [Live Location] 
09:19:39.697 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530713] [77.2914642], [Live Location] 
09:19:39.716 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530713] [77.2914642], [Live Location] 
09:20:09.553 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307138] [77.2914628], [Live Location] 
09:20:09.571 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307138] [77.2914628], [Live Location] 
09:20:39.576 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530713] [77.2914664], [Live Location] 
09:20:39.597 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530713] [77.2914664], [Live Location] 
09:21:09.576 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530716] [77.2914603], [Live Location] 
09:21:09.595 INFO  SIP2_GIS_SERVICE.[9560597211] [28.530716] [77.2914603], [Live Location] 
09:21:39.649 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307089] [77.2914556], [Live Location] 
09:21:39.666 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307089] [77.2914556], [Live Location] 
09:22:09.606 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307117] [77.2914541], [Live Location] 
09:22:09.623 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307117] [77.2914541], [Live Location] 
09:22:39.715 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307085] [77.2914569], [Live Location] 
09:22:39.734 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307085] [77.2914569], [Live Location] 
09:23:09.719 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307034] [77.2914564], [Live Location] 
09:23:09.738 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307034] [77.2914564], [Live Location] 
09:23:39.743 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307084] [77.2914565], [Live Location] 
09:23:39.758 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307084] [77.2914565], [Live Location] 
09:24:09.752 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307104] [77.291452], [Live Location] 
09:24:09.769 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307104] [77.291452], [Live Location] 
09:24:39.769 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307124] [77.2914563], [Live Location] 
09:24:39.787 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307124] [77.2914563], [Live Location] 
09:25:09.789 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307137] [77.2914511], [Live Location] 
09:25:09.808 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307137] [77.2914511], [Live Location] 
09:25:39.871 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307106] [77.2914621], [Live Location] 
09:25:39.889 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307106] [77.2914621], [Live Location] 
09:26:09.758 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307092] [77.2914621], [Live Location] 
09:26:09.776 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307092] [77.2914621], [Live Location] 
09:26:39.851 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307099] [77.2914603], [Live Location] 
09:26:39.869 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307099] [77.2914603], [Live Location] 
09:27:09.956 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5307054] [77.2914597], [Live Location] 
