08:28:46.909 INFO  SIP2_GIS_SERVICE. [List Show] 
08:55:26.021 INFO  SIP2_GIS_SERVICE. [List Show] 
09:02:51.278 INFO  SIP2_GIS_SERVICE.[9560597211] [28.542417] [77.2803168], [Live Location] 
09:02:59.743 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514989] [77.2654477], [Live Location] 
09:02:59.759 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514989] [77.2654477], [Live Location] 
09:03:08.663 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504191] [77.2654199], [Live Location] 
09:03:08.682 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504191] [77.2654199], [Live Location] 
09:03:09.356 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5439206] [77.2791566], [Live Location] 
09:03:09.374 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5439206] [77.2791566], [Live Location] 
09:03:09.744 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514989] [77.2654477], [Live Location] 
09:03:09.764 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514989] [77.2654477], [Live Location] 
09:03:20.725 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654539], [Live Location] 
09:03:20.746 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654539], [Live Location] 
09:03:27.162 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5454156] [77.2782831], [Live Location] 
09:03:27.180 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5454156] [77.2782831], [Live Location] 
09:03:31.747 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654539], [Live Location] 
09:03:31.763 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654539], [Live Location] 
09:03:37.786 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504232] [77.265414], [Live Location] 
09:03:37.802 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504232] [77.265414], [Live Location] 
09:03:42.722 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654539], [Live Location] 
09:03:42.735 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654539], [Live Location] 
09:03:53.727 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515105] [77.265467], [Live Location] 
